chunk_id,job_category,experience_level,project_description,rate_median,rate_mean,rate_min,rate_max,sample_count
18,App Development,Expert,"Build a location-based services app for a logistics company, featuring real-time tracking, route optimization, and delivery management, with a requirement for integration with existing fleet management software.",48.42,53.2301282051282,5.91,98.92,78
19,App Development,Expert,"Develop a mobile gaming app with a focus on multiplayer capabilities, social features, and in-app purchases, utilizing Unity and C# for cross-platform development and deployment.",48.42,53.2301282051282,5.91,98.92,78
20,App Development,Intermediate,"Develop a mobile app for tracking personal fitness goals, including integration with wearable devices and social media sharing, with a focus on a user-friendly interface and robust data analytics.",56.385,54.944222222222216,6.21,99.04,90
21,App Development,Intermediate,"Create a tablet-based point-of-sale system for a retail business, featuring inventory management, employee login, and customer loyalty program integration, with a requirement for high-performance and reliability.",56.385,54.944222222222216,6.21,99.04,90
22,App Development,Intermediate,"Design and build a cross-platform mobile application for streaming live events, including video playback, chat functionality, and push notifications, with an emphasis on low-latency and scalability.",56.385,54.944222222222216,6.21,99.04,90
23,App Development,Intermediate,"Build an iOS and Android app for a food delivery service, allowing users to browse menus, place orders, and track delivery status, with integration with Google Maps and payment gateways.",56.385,54.944222222222216,6.21,99.04,90
24,App Development,Intermediate,"Develop a hybrid mobile app for managing field service operations, including scheduling, dispatch, and reporting, with a focus on offline capability and seamless syncing with a cloud-based backend.",56.385,54.944222222222216,6.21,99.04,90
25,App Development,Intermediate,"Create a native Android app for a popular online learning platform, featuring video courses, quizzes, and discussion forums, with a requirement for high-quality video playback and robust security.",56.385,54.944222222222216,6.21,99.04,90
26,App Development,Intermediate,"Design and develop a mobile app for tracking personal expenses, including budgeting, categorization, and receipt scanning, with integration with popular accounting software and bank feeds.",56.385,54.944222222222216,6.21,99.04,90
27,App Development,Intermediate,"Build a mobile gaming app with real-time multiplayer capability, featuring leaderboards, chat functionality, and in-app purchases, with an emphasis on fast and responsive gameplay.",56.385,54.944222222222216,6.21,99.04,90
28,App Development,Intermediate,"Develop a mobile app for a healthcare provider, allowing patients to schedule appointments, access medical records, and communicate with doctors, with a focus on HIPAA compliance and high-security standards.",56.385,54.944222222222216,6.21,99.04,90
29,App Development,Intermediate,"Create a mobile app for a travel company, featuring destination guides, booking functionality, and real-time flight tracking, with integration with social media and loyalty programs.",56.385,54.944222222222216,6.21,99.04,90
30,Content Writing,Beginner,"We need a beginner content writer to create engaging social media posts for our fashion brand, including Facebook, Instagram, and Twitter, with a total of 20 posts per month.",47.06,51.889,5.56,99.53,70
31,Content Writing,Beginner,"I am looking for a beginner writer to write a series of blog posts on health and wellness, approximately 500 words each, with a minimum of 2 posts per week.",47.06,51.889,5.56,99.53,70
32,Content Writing,Beginner,"Create a set of product descriptions for an e-commerce website selling outdoor gear, totaling 15 products, with each description being around 100-150 words.",47.06,51.889,5.56,99.53,70
33,Content Writing,Beginner,"Assist in writing and editing a company newsletter, sent out bi-weekly, focusing on industry trends and company updates, approximately 400-500 words per issue.",47.06,51.889,5.56,99.53,70
34,Content Writing,Beginner,"Develop a content calendar and write monthly articles for a lifestyle website, focusing on travel and entertainment, with each article being around 800-1000 words.",47.06,51.889,5.56,99.53,70
35,Content Writing,Beginner,"Write SEO-friendly descriptions for a real estate website, totaling 10 properties, with each description being around 200-250 words, including relevant keywords.",47.06,51.889,5.56,99.53,70
36,Content Writing,Beginner,"Help craft compelling email newsletters for a marketing firm, sent out weekly, with a focus on industry insights and company news, approximately 300-400 words per issue.",47.06,51.889,5.56,99.53,70
37,Content Writing,Beginner,"Create a set of instructional guides for a software company, totaling 5 guides, with each guide being around 1000-1200 words, focusing on user tutorials and troubleshooting.",47.06,51.889,5.56,99.53,70
38,Content Writing,Beginner,"Write and edit a series of press releases for a non-profit organization, totaling 4 releases, with each release being around 300-400 words, focusing on upcoming events and charity work.",47.06,51.889,5.56,99.53,70
39,Content Writing,Beginner,"Assist in developing a content strategy and write articles for a technology blog, focusing on emerging trends and new technologies, with each article being around 600-800 words.",47.06,51.889,5.56,99.53,70
40,Content Writing,Expert,"Create a comprehensive e-book on innovative marketing strategies for a tech startup, requiring in-depth research and interviews with industry experts, with a deliverable of a 50-page document.",62.84,58.44649350649351,6.28,98.52,77
41,Content Writing,Expert,"Develop a long-term content calendar for a wellness brand, including blog posts, social media updates, and newsletter content, that aligns with their brand voice and existing marketing efforts.",62.84,58.44649350649351,6.28,98.52,77
42,Content Writing,Expert,"Write a series of technical whitepapers on artificial intelligence applications in various industries, targeting C-level executives and requiring a high level of technical expertise and clarity.",62.84,58.44649350649351,6.28,98.52,77
43,Content Writing,Expert,"Produce high-quality, engaging product descriptions for an e-commerce platform specializing in outdoor gear, with a focus on SEO optimization and compelling calls-to-action.",62.84,58.44649350649351,6.28,98.52,77
44,Content Writing,Expert,"Design and write a quarterly print magazine for a non-profit organization focused on environmental conservation, including feature articles, interviews, and updates on ongoing projects.",62.84,58.44649350649351,6.28,98.52,77
45,Content Writing,Expert,"Craft a set of persuasive sales pages for a software company launching a new product, emphasizing key features, benefits, and customer testimonials, with the goal of driving conversions and sales.",62.84,58.44649350649351,6.28,98.52,77
46,Content Writing,Expert,"Research and write a detailed industry report on trends and insights in the renewable energy sector, including data analysis, expert opinions, and forecasts for future developments.",62.84,58.44649350649351,6.28,98.52,77
47,Content Writing,Expert,"Create a suite of internal communications materials, including employee newsletters, policy documents, and training manuals, for a large corporation undergoing a significant restructuring.",62.84,58.44649350649351,6.28,98.52,77
48,Content Writing,Expert,"Develop a content strategy and write a collection of thought leadership articles for a management consulting firm, positioning their experts as authorities in their fields and highlighting the firm's capabilities.",62.84,58.44649350649351,6.28,98.52,77
49,Content Writing,Expert,"Write and edit a comprehensive style guide for a global brand, covering tone, voice, and language usage across all marketing channels and internal communications, to ensure consistency and clarity.",62.84,58.44649350649351,6.28,98.52,77
50,Content Writing,Intermediate,"We are looking for an intermediate content writer to create engaging product descriptions for our e-commerce website, focusing on electronics and gadgets, with a total of 50 descriptions needed within the next two weeks.",52.63,53.56142857142857,5.3,99.7,84
51,Content Writing,Intermediate,"Create high-quality, SEO-optimized blog posts on topics related to health and wellness, aiming for 6 posts per month, each approximately 800-1000 words, with a tone that is both informative and entertaining.",52.63,53.56142857142857,5.3,99.7,84
52,Content Writing,Intermediate,"Develop a comprehensive content strategy and write social media posts for a startup, aiming to increase brand awareness and engagement across platforms like Facebook, Twitter, and Instagram, with a focus on tech and innovation.",52.63,53.56142857142857,5.3,99.7,84
53,Content Writing,Intermediate,"Write and edit copy for a series of newsletters targeting professionals in the finance sector, ensuring the content is informative, concise, and engaging, with a minimum of 4 newsletters to be produced within the next 6 weeks.",52.63,53.56142857142857,5.3,99.7,84
54,Content Writing,Intermediate,"Research and write in-depth guides on various aspects of digital marketing, such as SEO, PPC, and email marketing, each guide expected to be around 2000-2500 words, with the goal of establishing the client as a thought leader in the field.",52.63,53.56142857142857,5.3,99.7,84
55,Content Writing,Intermediate,"Produce compelling and concise whitepapers on emerging trends in the field of cybersecurity, averaging 10-12 pages per document, and requiring a deep understanding of the subject matter to ensure accuracy and relevance.",52.63,53.56142857142857,5.3,99.7,84
56,Content Writing,Intermediate,"Assist in crafting press releases for a non-profit organization, focusing on issues related to environmental conservation, with the goal of increasing media coverage and public awareness, expecting to work on at least 8 press releases over the next quarter.",52.63,53.56142857142857,5.3,99.7,84
57,Content Writing,Intermediate,"Develop and implement a content marketing plan for a small business, including writing articles, creating social media content, and managing the company blog, with the objective of boosting website traffic by at least 20% within the first 3 months.",52.63,53.56142857142857,5.3,99.7,84
58,Content Writing,Intermediate,"Write user manuals and instructional guides for software applications, ensuring the language is clear, concise, and accessible to a broad audience, with an average length of 20-30 pages per document, and requiring a strong understanding of technical writing principles.",52.63,53.56142857142857,5.3,99.7,84
59,Content Writing,Intermediate,"Create engaging educational content for an online course platform, focusing on topics such as business management, leadership, and entrepreneurship, with each course module requiring approximately 3-4 hours of content, including text, quizzes, and assignments.",52.63,53.56142857142857,5.3,99.7,84
60,Customer Support,Beginner,"We are seeking a customer support representative to handle incoming phone calls and respond to customer inquiries via email, providing basic troubleshooting and product information to resolve issues on the first contact.",61.6,57.20878048780488,5.94,99.83,82
61,Customer Support,Beginner,"A beginner-friendly project involves creating a comprehensive FAQ section for our website, covering common questions and concerns from customers to reduce support queries and improve user experience.",61.6,57.20878048780488,5.94,99.83,82
62,Customer Support,Beginner,"Assist our customer support team by drafting and sending standardized response emails to customers, ensuring timely and professional communication that reflects our brand's voice and values.",61.6,57.20878048780488,5.94,99.83,82
63,Customer Support,Beginner,"As a customer support freelancer, you will be responsible for monitoring and responding to customer reviews on social media, addressing both positive and negative feedback to maintain our online reputation.",61.6,57.20878048780488,5.94,99.83,82
64,Customer Support,Beginner,"Help us develop a simple customer onboarding process, including automated email sequences and basic documentation, to ensure new customers have a smooth and engaging experience with our product.",61.6,57.20878048780488,5.94,99.83,82
65,Customer Support,Beginner,"We need support in managing our support ticket system, ensuring all tickets are properly categorized, assigned, and responded to in a timely manner, with the goal of achieving high customer satisfaction rates.",61.6,57.20878048780488,5.94,99.83,82
66,Customer Support,Beginner,"Create engaging and informative support content, such as blog posts and knowledge base articles, that help customers understand how to use our product and troubleshoot common issues.",61.6,57.20878048780488,5.94,99.83,82
67,Customer Support,Beginner,"Provide chat support to our customers, answering questions about products and services, and helping them navigate our website to find what they need in a fast and friendly manner.",61.6,57.20878048780488,5.94,99.83,82
68,Customer Support,Beginner,"This project involves analyzing customer feedback from various channels to identify patterns and areas for improvement, presenting findings in a cohesive report with recommendations for enhancing our customer support strategy.",61.6,57.20878048780488,5.94,99.83,82
69,Customer Support,Beginner,"Help design and implement a basic customer loyalty program, including email campaigns and loyalty rewards, to encourage repeat business and build strong relationships with our customer base.",61.6,57.20878048780488,5.94,99.83,82
70,Customer Support,Expert,"We need an expert customer support specialist to create and implement a comprehensive support strategy for our SaaS product, including email, chat, and phone support.",53.08,53.7767032967033,8.25,99.18,91
71,Customer Support,Expert,"As an expert customer support freelancer, you will be responsible for developing and maintaining a knowledge base for our e-commerce company, ensuring that all customer inquiries are addressed efficiently.",53.08,53.7767032967033,8.25,99.18,91
72,Customer Support,Expert,"Expert customer support professional required to handle customer complaints and concerns via social media, ensuring a high level of customer satisfaction and retention.",53.08,53.7767032967033,8.25,99.18,91
73,Customer Support,Expert,"We are seeking an expert customer support specialist to design and deliver training programs for our customer support team, focusing on improving customer experience and resolving issues effectively.",53.08,53.7767032967033,8.25,99.18,91
74,Customer Support,Expert,"As an expert in customer support, you will be tasked with analyzing customer feedback and developing actionable insights to improve our product and service offerings.",53.08,53.7767032967033,8.25,99.18,91
75,Customer Support,Expert,"Expert customer support freelancer needed to manage and resolve complex customer issues, collaborating with internal teams to provide timely and effective solutions.",53.08,53.7767032967033,8.25,99.18,91
76,Customer Support,Expert,"We require an expert customer support specialist to create and implement a customer loyalty program, aiming to increase customer retention and loyalty through personalized support and rewards.",53.08,53.7767032967033,8.25,99.18,91
77,Customer Support,Expert,"Expert customer support professional needed to develop and maintain a customer support portal, ensuring that all customer inquiries are addressed in a timely and professional manner.",53.08,53.7767032967033,8.25,99.18,91
78,Customer Support,Expert,"As an expert customer support freelancer, you will be responsible for conducting customer satisfaction surveys and analyzing the results to identify areas for improvement in our customer support processes.",53.08,53.7767032967033,8.25,99.18,91
79,Customer Support,Expert,"We need an expert customer support specialist to create a comprehensive customer support guide, outlining our support processes and procedures for our internal teams and customers.",53.08,53.7767032967033,8.25,99.18,91
80,Customer Support,Intermediate,"We are seeking an intermediate customer support freelancer to handle a high volume of incoming customer inquiries via phone, email, and chat, providing timely and effective resolutions to customer complaints and issues.",50.36,51.074366197183096,6.62,95.1,71
81,Customer Support,Intermediate,"Design and implement a comprehensive knowledge base for our e-commerce platform, including troubleshooting guides, product information, and FAQs, to reduce customer support queries and improve overall customer experience.",50.36,51.074366197183096,6.62,95.1,71
82,Customer Support,Intermediate,"Provide multilingual customer support services for our international clients, responding to customer inquiries and resolving issues in a timely and professional manner, with fluency in at least two languages required.",50.36,51.074366197183096,6.62,95.1,71
83,Customer Support,Intermediate,"Create a detailed customer support workflow and training manual for our internal support team, outlining procedures for handling customer complaints, processing returns and refunds, and escalating complex issues to senior support staff.",50.36,51.074366197183096,6.62,95.1,71
84,Customer Support,Intermediate,"Develop and maintain a customer support chatbot for our website, utilizing natural language processing and machine learning algorithms to provide automated responses to customer inquiries and improve support efficiency.",50.36,51.074366197183096,6.62,95.1,71
85,Customer Support,Intermediate,"Conduct comprehensive analysis of customer support metrics, including response times, resolution rates, and customer satisfaction scores, to identify trends and areas for improvement and inform strategic support initiatives.",50.36,51.074366197183096,6.62,95.1,71
86,Customer Support,Intermediate,"Provide customer support services for a new software product launch, including responding to customer inquiries, resolving technical issues, and providing product training and onboarding support to ensure a smooth customer experience.",50.36,51.074366197183096,6.62,95.1,71
87,Customer Support,Intermediate,"Create engaging and informative video tutorials and user guides to help customers understand and effectively use our software products, reducing the need for direct customer support and improving overall customer satisfaction.",50.36,51.074366197183096,6.62,95.1,71
88,Customer Support,Intermediate,"Manage a team of junior customer support agents, providing coaching and guidance on support best practices, and ensuring that all customer inquiries are responded to in a timely and professional manner.",50.36,51.074366197183096,6.62,95.1,71
89,Customer Support,Intermediate,"Develop a comprehensive customer support strategy for a new e-commerce platform, including defining support channels, establishing service level agreements, and implementing a ticketing system to manage and track customer support requests.",50.36,51.074366197183096,6.62,95.1,71
90,Data Entry,Beginner,"We need a freelancer to enter customer information into our CRM system, with an estimated 500 entries to be completed within 3 days.",48.89,50.660114942528736,5.24,99.22,87
91,Data Entry,Beginner,"A beginner data entry specialist is required to update our product catalog with new item descriptions, prices, and images, approximately 200 items in total.",48.89,50.660114942528736,5.24,99.22,87
92,Data Entry,Beginner,"Assist our team by accurately entering survey responses into a spreadsheet, with around 1000 responses to process.",48.89,50.660114942528736,5.24,99.22,87
93,Data Entry,Beginner,"Looking for someone to help with data cleansing and sorting of a list of 10,000 email addresses, ensuring all entries are correctly formatted.",48.89,50.660114942528736,5.24,99.22,87
94,Data Entry,Beginner,"Enter inventory levels into our database, tracking stock quantities across 50 different product lines.",48.89,50.660114942528736,5.24,99.22,87
95,Data Entry,Beginner,"Input customer order details into our order management system, handling around 50 orders per day.",48.89,50.660114942528736,5.24,99.22,87
96,Data Entry,Beginner,"Update our employee database with new hire information, including job titles, department, and contact details, for about 20 new employees.",48.89,50.660114942528736,5.24,99.22,87
97,Data Entry,Beginner,"Accurately transcribe audio recordings into text documents, approximately 10 hours of recordings to transcribe.",48.89,50.660114942528736,5.24,99.22,87
98,Data Entry,Beginner,"Help maintain our customer database by updating existing customer records with new phone numbers and addresses, around 500 records to update.",48.89,50.660114942528736,5.24,99.22,87
99,Data Entry,Beginner,"Enter examination results into our student information system, with around 200 student records to update.",48.89,50.660114942528736,5.24,99.22,87
100,Data Entry,Expert,"We need an expert data entry professional to enter customer information into our Salesforce database, ensuring accuracy and attention to detail for approximately 5000 records.",42.26,45.55536231884058,5.63,98.37,69
101,Data Entry,Expert,"A large-scale data migration project requires an experienced freelancer to transfer data from an old CRM system to a new one, involving around 10,000 records with complex mapping requirements.",42.26,45.55536231884058,5.63,98.37,69
102,Data Entry,Expert,"For our market research project, we require a skilled data entry expert to collect and input data from social media platforms, websites, and online forums into an Excel spreadsheet, with a focus on data quality and consistency.",42.26,45.55536231884058,5.63,98.37,69
103,Data Entry,Expert,"Our e-commerce company needs an expert data entry specialist to upload product information, including descriptions, prices, and images, to our online store, ensuring all products are live and ready for customers within a tight deadline.",42.26,45.55536231884058,5.63,98.37,69
104,Data Entry,Expert,"We are looking for an experienced data entry professional to manage and update our member database, involving data cleansing, formatting, and importing data from various sources into our membership management system.",42.26,45.55536231884058,5.63,98.37,69
105,Data Entry,Expert,"To support our business intelligence efforts, we need an expert data entry freelancer to extract and input financial data from invoices, receipts, and bank statements into a custom-built database for analysis and reporting purposes.",42.26,45.55536231884058,5.63,98.37,69
106,Data Entry,Expert,"A data validation project requires an experienced data entry professional to review and correct errors in a large dataset, ensuring data integrity and consistency for use in predictive modeling and analytics.",42.26,45.55536231884058,5.63,98.37,69
107,Data Entry,Expert,"Our company needs an expert data entry specialist to create and maintain accurate records of customer interactions, including phone calls, emails, and meetings, in our customer relationship management system.",42.26,45.55536231884058,5.63,98.37,69
108,Data Entry,Expert,"For a university research study, we require a skilled data entry expert to collect and input survey data from participants, involving around 2000 responses with complex skip logic and validation rules.",42.26,45.55536231884058,5.63,98.37,69
109,Data Entry,Expert,"We are seeking an experienced data entry professional to assist with data processing for a large-scale marketing campaign, involving data appending, profiling, and segmentation to support targeted marketing efforts.",42.26,45.55536231884058,5.63,98.37,69
110,Data Entry,Intermediate,"We need an intermediate data entry specialist to accurately enter customer information into our CRM system, with an estimated 5000 records to be processed over the next 2 weeks.",50.74,54.05743902439024,7.18,99.03,82
111,Data Entry,Intermediate,"A mid-sized e-commerce company is seeking a freelancer to upload and manage product listings on their online store, requiring attention to detail and basic knowledge of spreadsheet software.",50.74,54.05743902439024,7.18,99.03,82
112,Data Entry,Intermediate,"Assist a marketing firm by cleaning and formatting a large dataset of customer survey responses, delivering the finalized data in CSV format.",50.74,54.05743902439024,7.18,99.03,82
113,Data Entry,Intermediate,"An educational institution requires data entry services to catalog and organize their library's collection of books, journals, and other media, using a custom-built database application.",50.74,54.05743902439024,7.18,99.03,82
114,Data Entry,Intermediate,"Enter and verify financial transaction data into our accounting system, ensuring accuracy and compliance with company policies, for approximately 2000 transactions per month.",50.74,54.05743902439024,7.18,99.03,82
115,Data Entry,Intermediate,"Help a non-profit organization manage their donor database by updating and maintaining accurate records of contributions, contact information, and communication history.",50.74,54.05743902439024,7.18,99.03,82
116,Data Entry,Intermediate,"Process and enter employee time sheets and payroll data into our HR software, ensuring timely and accurate payment processing for over 100 staff members.",50.74,54.05743902439024,7.18,99.03,82
117,Data Entry,Intermediate,"A research organization needs assistance with manually transcribing and coding qualitative interview data, following a provided coding framework and delivering the results in a spreadsheet.",50.74,54.05743902439024,7.18,99.03,82
118,Data Entry,Intermediate,"Support a retail business by updating and maintaining their product inventory database, including tracking stock levels, monitoring inventory movements, and performing periodic audits.",50.74,54.05743902439024,7.18,99.03,82
119,Data Entry,Intermediate,"Enter and manage data for a real estate company's property listings, including property details, images, and agent information, using a web-based platform.",50.74,54.05743902439024,7.18,99.03,82
120,Digital Marketing,Beginner,"We need a freelancer to manage our social media presence by creating engaging content and responding to comments on Facebook, Twitter, and Instagram for a newly launched e-commerce brand.",54.61,52.99436781609196,5.14,98.83,87
121,Digital Marketing,Beginner,"Assist in creating and scheduling email marketing campaigns for a small business using Mailchimp, with the goal of increasing subscription rates and customer engagement.",54.61,52.99436781609196,5.14,98.83,87
122,Digital Marketing,Beginner,"Help develop a basic SEO strategy for a local service-based business, including keyword research and on-page optimization for their existing website.",54.61,52.99436781609196,5.14,98.83,87
123,Digital Marketing,Beginner,"Create a monthly analytics report for a blog using Google Analytics, focusing on traffic sources, page views, and bounce rates to inform future content decisions.",54.61,52.99436781609196,5.14,98.83,87
124,Digital Marketing,Beginner,Design and implement a simple lead magnet campaign to capture email addresses from website visitors for a fitness coaching service.,54.61,52.99436781609196,5.14,98.83,87
125,Digital Marketing,Beginner,"Write and publish a series of introductory blog posts about industry trends for a startup in the tech sector, aiming to establish their thought leadership.",54.61,52.99436781609196,5.14,98.83,87
126,Digital Marketing,Beginner,"Develop a content calendar for a small retail business to ensure consistent posting across their social media platforms, including product features and promotions.",54.61,52.99436781609196,5.14,98.83,87
127,Digital Marketing,Beginner,"Conduct a competitor analysis for a new digital product launch, focusing on market share, customer engagement, and marketing strategies used by similar products.",54.61,52.99436781609196,5.14,98.83,87
128,Digital Marketing,Beginner,"Assist in setting up and running Facebook Ads for a local event, aiming to increase attendance and engagement through targeted advertising.",54.61,52.99436781609196,5.14,98.83,87
129,Digital Marketing,Beginner,"Create a basic influencer outreach plan for a lifestyle brand, identifying potential influencers and crafting outreach emails to collaborate on sponsored content.",54.61,52.99436781609196,5.14,98.83,87
130,Digital Marketing,Expert,"We need an expert digital marketer to develop and implement a comprehensive social media strategy for our new product launch, including content creation, paid advertising, and influencer partnerships.",52.35,52.29075949367089,8.98,99.37,79
131,Digital Marketing,Expert,"Create a data-driven SEO audit and optimization plan for our e-commerce website, including technical SEO recommendations, content optimization, and link building strategies.",52.35,52.29075949367089,8.98,99.37,79
132,Digital Marketing,Expert,"Develop a multi-channel digital marketing campaign to promote our brand's thought leadership in the industry, including email marketing, content marketing, and event marketing.",52.35,52.29075949367089,8.98,99.37,79
133,Digital Marketing,Expert,"Design and execute an A/B testing and conversion rate optimization project for our website's landing pages, including user experience research, testing plan development, and results analysis.",52.35,52.29075949367089,8.98,99.37,79
134,Digital Marketing,Expert,"Plan and implement a large-scale email marketing automation program for our customer engagement platform, including workflow design, content creation, and metrics tracking.",52.35,52.29075949367089,8.98,99.37,79
135,Digital Marketing,Expert,Conduct market research and analyze customer behavior to inform the development of a personalized marketing strategy for our subscription-based service.,52.35,52.29075949367089,8.98,99.37,79
136,Digital Marketing,Expert,"Develop a digital marketing strategy for our mobile app, including app store optimization, paid advertising, and in-app marketing campaigns.",52.35,52.29075949367089,8.98,99.37,79
137,Digital Marketing,Expert,"Create a content marketing plan to support our brand's awareness and lead generation goals, including blog posts, videos, podcasts, and social media content.",52.35,52.29075949367089,8.98,99.37,79
138,Digital Marketing,Expert,Design and implement a marketing analytics dashboard to track key performance indicators and provide data-driven insights for our marketing team.,52.35,52.29075949367089,8.98,99.37,79
139,Digital Marketing,Expert,"Develop a crisis management plan and communications strategy for our brand's social media presence, including risk assessment, messaging framework, and response protocols.",52.35,52.29075949367089,8.98,99.37,79
140,Digital Marketing,Intermediate,"We need an intermediate digital marketer to develop and implement a social media strategy for our new product launch, including creating engaging content and managing paid advertising campaigns across Facebook, Twitter, and Instagram.",60.99,57.74215384615385,5.33,98.8,65
141,Digital Marketing,Intermediate,"Create a comprehensive SEO audit and improvement plan for our e-commerce website, including keyword research, on-page optimization, and link building to increase organic traffic and sales.",60.99,57.74215384615385,5.33,98.8,65
142,Digital Marketing,Intermediate,"Develop a targeted email marketing campaign to re-engage our inactive customer base, including designing and writing email content, setting up automation workflows, and analyzing campaign performance metrics.",60.99,57.74215384615385,5.33,98.8,65
143,Digital Marketing,Intermediate,Conduct market research and analyze our competitors' digital marketing strategies to identify opportunities for improvement and provide recommendations for our own marketing efforts.,60.99,57.74215384615385,5.33,98.8,65
144,Digital Marketing,Intermediate,"Design and execute a influencer marketing campaign to promote our brand and products to a younger demographic, including identifying and partnering with relevant influencers, managing content creation, and tracking campaign ROI.",60.99,57.74215384615385,5.33,98.8,65
145,Digital Marketing,Intermediate,"Build and manage our company's presence on LinkedIn, including creating and publishing engaging content, participating in relevant groups, and leveraging paid advertising options to drive lead generation and brand awareness.",60.99,57.74215384615385,5.33,98.8,65
146,Digital Marketing,Intermediate,"Develop a data-driven content marketing strategy to drive more traffic and conversions to our website, including creating and promoting blog posts, videos, and other types of content that resonate with our target audience.",60.99,57.74215384615385,5.33,98.8,65
147,Digital Marketing,Intermediate,"Plan and execute a Google Ads campaign to drive more conversions and sales for our business, including conducting keyword research, setting up ad groups and campaigns, and optimizing ad performance based on data analysis.",60.99,57.74215384615385,5.33,98.8,65
148,Digital Marketing,Intermediate,"Create a comprehensive digital marketing strategy for our small business, including setting clear goals and objectives, identifying target audiences, and outlining tactics for social media, email, and content marketing.",60.99,57.74215384615385,5.33,98.8,65
149,Digital Marketing,Intermediate,"Analyze our website's conversion rates and user experience, and provide recommendations for improvement, including A/B testing, user feedback analysis, and implementation of changes to increase conversions and overall user satisfaction.",60.99,57.74215384615385,5.33,98.8,65
150,Graphic Design,Beginner,"Create a logo for a new startup company, including a vector file and a style guide, with a minimalist and modern aesthetic.",50.27,51.15370786516854,6.66,97.56,89
151,Graphic Design,Beginner,"Design a social media post template for a small business, including 3 different layouts and a set of custom icons.",50.27,51.15370786516854,6.66,97.56,89
152,Graphic Design,Beginner,"Develop a basic brand identity package for a non-profit organization, including a color palette, typography, and a business card design.",50.27,51.15370786516854,6.66,97.56,89
153,Graphic Design,Beginner,"Illustrate a children's book with 10 full-page illustrations and a cover design, using a whimsical and colorful style.",50.27,51.15370786516854,6.66,97.56,89
154,Graphic Design,Beginner,"Create a set of 5 custom icons for a mobile app, with a focus on simple and recognizable designs.",50.27,51.15370786516854,6.66,97.56,89
155,Graphic Design,Beginner,"Design a flyer for a local event, including a bold headline, eye-catching imagery, and essential event details.",50.27,51.15370786516854,6.66,97.56,89
156,Graphic Design,Beginner,"Produce a set of 10 social media graphics for a fitness influencer, including motivational quotes and high-quality images.",50.27,51.15370786516854,6.66,97.56,89
